timestamps,open,high,low,close,volume,amount
2025-09-30 23:45:00,3854.99,3860.76,3854.47,3858.99,0,0
2025-10-01 00:00:00,3859.11,3859.11,3850.84,3853.18,0,0
2025-10-01 00:15:00,3852.98,3855.48,3852.25,3855.34,0,0
2025-10-01 00:30:00,3855.39,3858.98,3854.84,3856.66,0,0
2025-10-01 00:45:00,3856.75,3860.09,3855.75,3858.23,0,0
2025-10-01 01:00:00,3860.662,3863.148,3859.018,3862.362,0,0
2025-10-01 01:15:00,3862.386,3865.221,3861.45,3864.92,0,0
2025-10-01 01:30:00,3865.027,3866.29,3863.784,3865.978,0,0
2025-10-01 01:45:00,3866.035,3869.029,3865.474,3868.925,0,0
2025-10-01 02:00:00,3858.58,3861.25,3856.77,3859.74,0,0
2025-10-01 02:15:00,3859.72,3860.62,3854.67,3854.69,0,0
2025-10-01 02:30:00,3854.7,3859.29,3854.7,3859.19,0,0
2025-10-01 02:45:00,3859.24,3861.06,3858.83,3860.07,0,0
2025-10-01 03:00:00,3860.31,3862.21,3860.26,3861.82,0,0
2025-10-01 03:15:00,3861.8,3862.26,3860.49,3861.63,0,0
2025-10-01 03:30:00,3861.61,3861.92,3860.15,3861.61,0,0
2025-10-01 03:45:00,3861.6,3863.01,3861.13,3862.76,0,0
2025-10-01 04:00:00,3862.87,3865.21,3862.4,3865.15,0,0
2025-10-01 04:15:00,3865.13,3865.33,3861.33,3861.33,0,0
2025-10-01 04:30:00,3861.13,3864.87,3858.62,3863.62,0,0
2025-10-01 04:45:00,3863.64,3864.13,3860.62,3860.94,0,0
2025-10-01 05:00:00,3860.38,3863.11,3858.97,3862.33,0,0
2025-10-01 05:15:00,3862.4,3865.19,3861.51,3864.94,0,0
2025-10-01 05:30:00,3865.01,3866.23,3863.83,3865.99,0,0
2025-10-01 05:45:00,3866.0,3868.95,3865.62,3868.88,0,0
2025-10-01 06:00:00,3869.0,3875.58,3867.33,3867.59,0,0
2025-10-01 06:15:00,3867.85,3870.62,3864.75,3866.23,0,0
2025-10-01 06:30:00,3866.17,3867.37,3864.42,3865.82,0,0
2025-10-01 06:45:00,3865.81,3866.94,3857.92,3863.34,0,0
2025-10-01 07:00:00,3863.24,3866.34,3859.15,3862.07,0,0
2025-10-01 07:15:00,3862.1,3864.0,3861.41,3863.55,0,0
2025-10-01 07:30:00,3863.6,3864.26,3855.55,3863.93,0,0
2025-10-01 07:45:00,3863.89,3864.8,3860.71,3861.97,0,0
2025-10-01 08:00:00,3861.99,3864.59,3858.42,3860.84,0,0
2025-10-01 08:15:00,3860.76,3862.64,3860.08,3860.99,0,0
2025-10-01 08:30:00,3861.0,3861.42,3857.46,3858.85,0,0
2025-10-01 08:45:00,3858.83,3865.04,3858.83,3864.87,0,0
2025-10-01 09:00:00,3864.93,3869.9,3863.34,3864.28,0,0
2025-10-01 09:15:00,3864.26,3868.48,3864.26,3865.81,0,0
2025-10-01 09:30:00,3865.79,3866.56,3862.7,3862.78,0,0
2025-10-01 09:45:00,3862.8,3864.23,3862.1,3863.45,0,0
2025-10-01 10:00:00,3863.3,3864.39,3858.59,3858.66,0,0
2025-10-01 10:15:00,3858.58,3861.84,3853.35,3861.84,0,0
2025-10-01 10:30:00,3862.04,3864.84,3859.3,3863.83,0,0
2025-10-01 10:45:00,3863.9,3864.77,3857.96,3859.21,0,0
2025-10-01 11:00:00,3859.19,3867.16,3859.03,3866.69,0,0
2025-10-01 11:15:00,3866.63,3871.54,3866.16,3870.9,0,0
2025-10-01 11:30:00,3870.89,3874.13,3868.19,3868.96,0,0
2025-10-01 11:45:00,3869.1,3879.88,3869.09,3879.2,0,0
2025-10-01 12:00:00,3879.23,3889.06,3879.09,3888.23,0,0
2025-10-01 12:15:00,3888.06,3895.34,3887.92,3891.82,0,0
2025-10-01 12:30:00,3891.81,3893.78,3887.98,3891.82,0,0
2025-10-01 12:45:00,3891.88,3893.72,3890.48,3893.0,0,0
2025-10-01 13:00:00,3893.03,3895.23,3891.89,3893.88,0,0
2025-10-01 13:15:00,3893.7,3893.92,3884.34,3886.14,0,0
2025-10-01 13:30:00,3886.33,3891.08,3883.65,3888.83,0,0
2025-10-01 13:45:00,3888.7,3891.64,3885.41,3889.03,0,0
2025-10-01 14:00:00,3889.08,3889.56,3885.62,3888.9,0,0
2025-10-01 14:15:00,3888.89,3889.54,3886.32,3886.47,0,0
2025-10-01 14:30:00,3886.3,3887.82,3885.23,3887.39,0,0
2025-10-01 14:45:00,3887.33,3889.55,3886.18,3887.51,0,0
2025-10-01 15:00:00,3887.44,3888.45,3881.27,3883.17,0,0
2025-10-01 15:15:00,3883.11,3885.38,3881.92,3881.97,0,0
2025-10-01 15:30:00,3881.96,3882.62,3878.14,3881.91,0,0
2025-10-01 15:45:00,3881.83,3884.39,3881.18,3883.59,0,0
2025-10-01 16:00:00,3884.07,3885.44,3881.4,3884.35,0,0
2025-10-01 16:15:00,3884.13,3891.19,3875.4,3877.72,0,0
2025-10-01 16:30:00,3878.02,3880.69,3871.77,3875.44,0,0
2025-10-01 16:45:00,3875.04,3877.24,3864.65,3870.41,0,0
2025-10-01 17:00:00,3870.2,3874.29,3865.31,3865.64,0,0
2025-10-01 17:15:00,3865.47,3870.21,3863.8,3869.9,0,0
2025-10-01 17:30:00,3869.98,3877.19,3868.98,3872.47,0,0
2025-10-01 17:45:00,3872.56,3874.6,3867.69,3872.8,0,0
2025-10-01 18:00:00,3872.71,3875.99,3867.72,3870.27,0,0
2025-10-01 18:15:00,3869.71,3875.79,3869.14,3875.26,0,0
2025-10-01 18:30:00,3875.42,3878.68,3874.61,3877.09,0,0
2025-10-01 18:45:00,3876.95,3878.17,3856.21,3872.98,0,0
2025-10-01 19:00:00,3872.81,3876.84,3866.56,3869.41,0,0
2025-10-01 19:15:00,3869.14,3869.77,3859.57,3859.71,0,0
2025-10-01 19:30:00,3859.42,3866.21,3858.03,3864.63,0,0
2025-10-01 19:45:00,3864.93,3869.62,3863.37,3868.55,0,0
2025-10-01 20:00:00,3868.36,3869.37,3860.84,3867.21,0,0
2025-10-01 20:15:00,3867.17,3870.71,3866.72,3870.4,0,0
2025-10-01 20:30:00,3870.41,3871.5,3869.48,3870.66,0,0
2025-10-01 20:45:00,3870.64,3871.62,3869.51,3870.88,0,0
2025-10-01 21:00:00,3870.91,3871.4,3868.6,3869.88,0,0
2025-10-01 21:15:00,3869.92,3871.87,3868.92,3870.79,0,0
2025-10-01 21:30:00,3871.06,3871.38,3863.94,3864.19,0,0
2025-10-01 21:45:00,3864.2,3865.01,3860.73,3860.82,0,0
2025-10-01 22:00:00,3860.48,3860.92,3854.85,3859.79,0,0
2025-10-01 22:15:00,3859.9,3864.92,3859.52,3862.98,0,0
2025-10-01 22:30:00,3862.98,3866.28,3858.08,3859.46,0,0
2025-10-01 22:45:00,3859.47,3863.88,3859.26,3862.14,0,0
2025-10-01 23:00:00,3862.35,3865.95,3861.39,3865.8,0,0
2025-10-01 23:15:00,3865.82,3866.6,3863.59,3864.71,0,0
2025-10-01 23:30:00,3864.72,3869.17,3864.1,3869.16,0,0
